Id,v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,rez_esc,hhsize,paredblolad,paredzocalo,paredpreb,pareddes,paredmad,paredzinc,paredfibras,paredother,pisomoscer,pisocemento,pisoother,pisonatur,pisonotiene,pisomadera,techozinc,techoentrepiso,techocane,techootro,cielorazo,abastaguadentro,abastaguafuera,abastaguano,public,planpri,noelec,coopele,sanitario1,sanitario2,sanitario3,sanitario5,sanitario6,energcocinar1,energcocinar2,energcocinar3,energcocinar4,elimbasu1,elimbasu2,elimbasu3,elimbasu4,elimbasu5,elimbasu6,epared1,epared2,epared3,etecho1,etecho2,etecho3,eviv1,eviv2,eviv3,dis,male,female,estadocivil1,estadocivil2,estadocivil3,estadocivil4,estadocivil5,estadocivil6,estadocivil7,parentesco1,parentesco2,parentesco3,parentesco4,parentesco5,parentesco6,parentesco7,parentesco8,parentesco9,parentesco10,parentesco11,parentesco12,idhogar,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,instlevel1,instlevel2,instlevel3,instlevel4,instlevel5,instlevel6,instlevel7,instlevel8,instlevel9,bedrooms,overcrowding,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,computer,television,mobilephone,qmobilephone,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,area1,area2,age,SQBescolari,SQBage,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,agesq
ID_2f6873615,,0,5,0,1,1,0,,1,1,2,0,1,1,1,2,3,3,3,0,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72958b30c,1,2,0,3,0.5,no,17,16.5,1,0,0,0,0,0,0,0,0,2,1.5,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,4,0,16,9,0,1,2.25,0.25,272.25,16
ID_1c78846d2,,0,5,0,1,1,0,,1,1,2,0,1,1,1,2,3,3,3,16,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72958b30c,1,2,0,3,0.5,no,17,16.5,0,0,0,0,0,0,0,1,0,2,1.5,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,41,256,1681,9,0,1,2.25,0.25,272.25,1681
ID_e5442cf6a,,0,5,0,1,1,0,,1,1,2,0,1,1,1,2,3,3,3,17,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72958b30c,1,2,0,3,0.5,no,17,16.5,0,0,0,0,0,0,0,0,1,2,1.5,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,41,289,1681,9,0,1,2.25,0.25,272.25,1681
ID_a8db26a79,,0,14,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,16,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5b598fbc9,0,1,0,1,no,16,no,16,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,59,256,3481,1,256,0,1,0,256,3481
ID_a62966799,175000,0,4,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,11,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1e2fc704e,1,0,0,1,8,no,11,,0,0,0,0,1,0,0,0,0,2,0.5,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,18,121,324,1,0,1,0.25,64,,324
ID_e77d38d45,400000,0,3,0,1,1,1,1,0,0,0,0,2,2,0,2,2,2,2,16,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8ee7365a8,0,2,0,2,no,no,11,13.5,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,38,256,1444,4,0,0,1,0,182.25,1444
ID_3c5f4bd51,400000,0,3,0,1,1,1,1,0,0,0,0,2,2,0,2,2,2,2,11,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8ee7365a8,0,2,0,2,no,no,11,13.5,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,42,121,1764,4,0,0,1,0,182.25,1764
ID_a849c29bd,300000,0,6,0,1,1,1,1,0,0,0,0,2,2,0,2,2,2,2,14,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,ff69a6fc8,0,2,0,2,no,no,14,14,0,0,0,0,0,0,0,1,0,4,0.5,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,21,196,441,4,0,0,0.25,0,196,441
ID_472fa82da,300000,0,6,0,1,1,1,1,0,0,0,0,2,2,0,2,2,2,2,14,,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ff69a6fc8,0,2,0,2,no,no,14,14,0,0,0,0,0,0,0,1,0,4,0.5,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,22,196,484,4,0,0,0.25,0,196,484
ID_24864adcc,,0,6,0,1,1,0,,0,0,0,0,1,1,0,1,1,1,1,10,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,b61e2bb92,0,1,1,1,8,no,10,10,0,0,0,1,0,0,0,0,0,3,0.33333334,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,70,100,4900,1,0,0,0.11111112,64,100,4900
ID_247909995,90000,0,5,0,1,1,0,,0,1,1,0,2,2,0,3,3,3,3,10,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,a499b6c30,1,2,0,3,0.5,no,15,17,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,18,100,324,9,0,1,1,0.25,289,324
ID_fbe8d0909,90000,0,5,0,1,1,0,,0,1,1,0,2,2,0,3,3,3,3,9,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a499b6c30,1,2,0,3,0.5,no,15,17,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,55,81,3025,9,0,1,1,0.25,289,3025
ID_8ed30c46a,90000,0,5,0,1,1,0,,0,1,1,0,2,2,0,3,3,3,3,15,,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,a499b6c30,1,2,0,3,0.5,no,15,17,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,53,225,2809,9,0,1,1,0.25,289,2809
ID_c8809fe15,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,10,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,51,100,2601,36,100,4,4,0.25,110.25,2601
ID_b726eb052,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,11,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,52,121,2704,36,100,4,4,0.25,110.25,2704
ID_3533dffe1,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,9,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,15,81,225,36,100,4,4,0.25,110.25,225
ID_67a331b9f,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,9,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,22,81,484,36,100,4,4,0.25,110.25,484
ID_67c4a6bb6,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,12,,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,21,144,441,36,100,4,4,0.25,110.25,441
ID_8228c6a2e,200000,0,5,0,1,1,0,,0,2,2,0,4,4,0,6,6,6,6,10,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,f751b9e44,2,4,0,6,0.5,10,no,10.5,0,0,0,1,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,6,1,0,0,0,0,0,1,0,17,100,289,36,100,4,4,0.25,110.25,289
ID_d54f1a82e,240000,0,6,0,1,1,0,,0,3,3,0,0,0,0,3,3,3,3,9,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ba1262b51,0,3,0,3,no,6,no,8,0,0,0,1,0,0,0,0,0,4,0.75,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,27,81,729,9,36,0,0.5625,0,64,729
ID_a39d40b54,240000,0,6,0,1,1,0,,0,3,3,0,0,0,0,3,3,3,3,9,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ba1262b51,0,3,0,3,no,6,no,8,0,0,0,1,0,0,0,0,0,4,0.75,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,45,81,2025,9,36,0,0.5625,0,64,2025
ID_748724edb,240000,0,6,0,1,1,0,,0,3,3,0,0,0,0,3,3,3,3,6,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,ba1262b51,0,3,0,3,no,6,no,8,0,0,1,0,0,0,0,0,0,4,0.75,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,32,36,1024,9,36,0,0.5625,0,64,1024
ID_8be4c9bbf,,0,5,0,1,1,0,,0,0,0,0,2,2,0,2,2,2,2,13,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,d5a0a19d8,0,2,1,2,yes,no,9,11,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,25,169,625,4,0,0,1,1,121,625
ID_7bade887b,,0,5,0,1,1,0,,0,0,0,0,2,2,0,2,2,2,2,9,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,d5a0a19d8,0,2,1,2,yes,no,9,11,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,0,66,81,4356,4,0,0,1,1,121,4356
ID_13f752d2b,210000,0,5,0,1,1,1,2,0,1,1,2,1,3,2,2,4,4,4,0,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23eb5e435,2,2,0,4,yes,11,no,11,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,3,0,9,16,121,4,4,1,121,9
ID_a9bff86ae,210000,0,5,0,1,1,1,2,0,1,1,2,1,3,2,2,4,4,4,11,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23eb5e435,2,2,0,4,yes,11,no,11,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,33,121,1089,16,121,4,4,1,121,1089
ID_04d3ee180,210000,0,5,0,1,1,1,2,0,1,1,2,1,3,2,2,4,4,4,11,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23eb5e435,2,2,0,4,yes,11,no,11,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,30,121,900,16,121,4,4,1,121,900
